SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
1112	pt_with_samples_1112	SRR11416864	PRJNA545312		480	1112..pool480	Illumina MiSeq	Illumina	16S rRNA
1120	pt_with_samples_1056_1057_1058_1120	SRR11416894	PRJNA545312		536	1120..pool536	Illumina MiSeq	Illumina	16S rRNA
1121	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11417253	PRJNA545312		203	1121..pool203	Illumina MiSeq	Illumina	16S rRNA
1123	pt_with_samples_1050_1051_1052_1053_1054_1055_1123	SRR11416605	PRJNA545312		536	1123..pool536	Illumina MiSeq	Illumina	16S rRNA
1124	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414309	PRJNA545312		203	1124..pool203	Illumina MiSeq	Illumina	16S rRNA
1125	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11417234	PRJNA545312		536	1125..pool536	Illumina MiSeq	Illumina	16S rRNA
145G	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11417627	PRJNA545312		203	145G..pool203	Illumina MiSeq	Illumina	16S rRNA
145I	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11417626	PRJNA545312		539	145I..pool539	Illumina MiSeq	Illumina	16S rRNA
145J	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11417625	PRJNA545312		539	145J..pool539	Illumina MiSeq	Illumina	16S rRNA
145L	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11417623	PRJNA545312		484	145L..pool484	Illumina MiSeq	Illumina	16S rRNA
152L	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11421113	PRJNA545312		539	152L..pool539	Illumina MiSeq	Illumina	16S rRNA
152M	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11421112	PRJNA545312		203	152M..pool203	Illumina MiSeq	Illumina	16S rRNA
185A	pt_with_samples_185_91	SRR11420747	PRJNA545312		263	185A..pool263	Illumina MiSeq	Illumina	16S rRNA
1993A	pt_with_samples_1933_1993	SRR11116599	PRJNA607574		928	1993A..pool928	Illumina MiSeq	Illumina	16S rRNA
1993B	pt_with_samples_1933_1993	SRR11116588	PRJNA607574		928	1993B..pool928	Illumina MiSeq	Illumina	16S rRNA
1993C	pt_with_samples_1933_1993	SRR11116577	PRJNA607574		928	1993C..pool928	Illumina MiSeq	Illumina	16S rRNA
1993D	pt_with_samples_1933_1993	SRR11116566	PRJNA607574		928	1993D..pool928	Illumina MiSeq	Illumina	16S rRNA
1993E	pt_with_samples_1933_1993	SRR11116555	PRJNA607574		928	1993E..pool928	Illumina MiSeq	Illumina	16S rRNA
1993F	pt_with_samples_1933_1993	SRR11116544	PRJNA607574		928	1993F..pool928	Illumina MiSeq	Illumina	16S rRNA
1993G	pt_with_samples_1933_1993	SRR11116505	PRJNA607574		928	1993G..pool928	Illumina MiSeq	Illumina	16S rRNA
1993H	pt_with_samples_1933_1993	SRR11116493	PRJNA607574		928	1993H..pool928	Illumina MiSeq	Illumina	16S rRNA
2003A	pt_with_samples_2003_759	SRR11420289	PRJNA545312		437	2003A..pool437	Illumina MiSeq	Illumina	16S rRNA
2003B	pt_with_samples_2003_759	SRR11420278	PRJNA545312		437	2003B..pool437	Illumina MiSeq	Illumina	16S rRNA
2003D	pt_with_samples_2003_759	SRR11420211	PRJNA545312		252.Leukemia	2003D..pool252.Leukemia	Illumina MiSeq	Illumina	16S rRNA
2003E	pt_with_samples_2003_759	SRR11420200	PRJNA545312		437	2003E..pool437	Illumina MiSeq	Illumina	16S rRNA
2003F	pt_with_samples_2003_759	SRR11421351	PRJNA545312		252.Leukemia	2003F..pool252.Leukemia	Illumina MiSeq	Illumina	16S rRNA
2004A	pt_with_samples_2004_699	SRR11421350	PRJNA545312		437	2004A..pool437	Illumina MiSeq	Illumina	16S rRNA
2004B	pt_with_samples_2004_699	SRR11421349	PRJNA545312		437	2004B..pool437	Illumina MiSeq	Illumina	16S rRNA
2004C	pt_with_samples_2004_699	SRR11421348	PRJNA545312		437	2004C..pool437	Illumina MiSeq	Illumina	16S rRNA
2004D	pt_with_samples_2004_699	SRR11421347	PRJNA545312		252.Leukemia	2004D..pool252.Leukemia	Illumina MiSeq	Illumina	16S rRNA
2008A	pt_with_samples_2008_748	SRR11421346	PRJNA545312		354.Leukemia	2008A..pool354.Leukemia	Illumina MiSeq	Illumina	16S rRNA
2008D	pt_with_samples_2008_748	SRR11421344	PRJNA545312		354.Leukemia	2008D..pool354.Leukemia	Illumina MiSeq	Illumina	16S rRNA
2011A	pt_with_samples_2011_737	SRR11421329	PRJNA545312		423	2011A..pool423	Illumina MiSeq	Illumina	16S rRNA
2011B	pt_with_samples_2011_737	SRR11421328	PRJNA545312		423	2011B..pool423	Illumina MiSeq	Illumina	16S rRNA
2018A	pt_with_samples_2018_796	SRR11421327	PRJNA545312		437	2018A..pool437	Illumina MiSeq	Illumina	16S rRNA
2018B	pt_with_samples_2018_796	SRR11421298	PRJNA545312		437	2018B..pool437	Illumina MiSeq	Illumina	16S rRNA
2019A	pt_with_samples_2019_760	SRR11421297	PRJNA545312		425	2019A..pool425	Illumina MiSeq	Illumina	16S rRNA
2019C	pt_with_samples_2019_760	SRR11421295	PRJNA545312		425	2019C..pool425	Illumina MiSeq	Illumina	16S rRNA
2020B	pt_with_samples_2020_831	SRR11421286	PRJNA545312		437	2020B..pool437	Illumina MiSeq	Illumina	16S rRNA
2021A	pt_with_samples_2021_897	SRR11421285	PRJNA545312		437	2021A..pool437	Illumina MiSeq	Illumina	16S rRNA
2024B	pt_with_samples_1006_2024	SRR11396940	PRJNA607574		484	2024B..pool484	Illumina MiSeq	Illumina	16S rRNA
